Host,Bandwidth,Speed,HDD,Price,Plan,Score,Type
LeechDrive,∞,100Mbps,100 GB,7.17,Seedbox Plan 4,84,Shared
SeedboxSolutions,∞,1Gbps,1 TB,7.97,MID-1T (beta),85,Shared
Easy-tk,∞,100Mbps,800 GB,8,SEEDY 800-SMALL,84,Shared
Easy-tk,∞,1Gbps,300 GB,8,SEEDY 300,84,Shared
RapidSeedbox,∞,10Gbps,1 TB,8,Swift,85,Shared
Sonicbit,Unmetered,0.5 Mbps,200 GB,8.04,SUPER,82,Shared
LeechDrive,∞,1Gbps,100 GB,8.19,Seedbox Plan 6,84,Shared
Iseedfast,3 TB,1Gbps,250 GB,8.19,SEEDFAST ADVANCE,84,Shared
Hostingby.Design,6 TB,10Gbps,2 TB,8.25,App Hosting 2TB HDD,84,Shared
Giga-Rapid,6 TB,1Gbps,1.3 TB,8.45,Mini G2,85,Shared
Meggafast,∞,1Gbps,500 GB,8.6,MeggaBox 500 GB,82,Shared
Sonicbit,Unmetered,16 Mbps,100 GB,8.7,PRIVATEX2,82,Shared
ULTRA.cc,4 TB Upload,50 Gbps,2TB,8.75,SPIRIT,84,Shared
Giga-Rapid,7 TB,10Gbps,1.5 TB,8.95,MINI G20,85,Shared
Topseedbox,∞,1Gbps,100 GB,8.99,Gigabit SSD 100,84,Shared
Bestbox,∞,500Mbps,900 GB - 5 TB,9,500mbit-mini,84,Shared
Seedbox-HQ,∞,1Gbps,750 GB,9,750 G,84,Shared
Easy-tk,∞,1Gbps,400 GB,9,SEEDY 400,84,Shared
SeedHost.eu,5 TB,10Gbps,3 TB,9,HDD 3T,80,Shared
SnTHostings,∞,100Mbps,90 GB,9.21,Semi Local Box,86,Shared
Giga-Rapid,10 TB,1Gbps,100 TB,9.25,Platinum (GigaTransfer),85,Shared
YourSeedbox,∞,1Gbps,200 GB,10,S900G,80,Shared
Seedbox.ch,∞,20Gbps,1 TB,10,Gigabox,85,Shared
Seedbox-HQ,∞,1Gbps,1 TB,10,1 TO,84,Shared
HostDzire,2 TB,1Gbps,50 GB SSD,10,US CloudVPS 2,83,Shared
DediSeedbox,∞,10Gbps,750 GB,10.24,Tiny Plan,87,Shared
Seed.ST,∞,15 Mbps,400 GB,10.24,100mbit,83,Shared
GGSHQ,∞,150 Mbps Upload & 1Gbps Download,300 GB,10.24,15M300G,84,Shared
LeechDrive,∞,1Gbps,200 GB,10.24,Seedbox Plan 7,84,Shared
CheapSeedbox,4TB Upload & Unlimited Downloads,1 Gbps,200 GB HDD,10.24,Dronebox,85,Shared
Evoseedbox,4 TB Upload,1Gbps,300 GB,10.24,SPEED,84,Shared
Topseedbox,∞,1Gbps,130 GB,10.9,Gigabit SSD 130,84,Shared
Topseedbox,∞,1Gbps,930 GB,10.95,Gigbit 1 TB Plan,84,Shared
Hostingby.Design,10 TB,10Gbps,4 TB,10.95,App Hosting 4TB HDD,89,Shared
Sdedi,∞,10Gbps,400 GB,10.99,SdediBox 400G,86,Shared
Seedbox.ch,8 TB Upload,10 Gbps,2.2 TB,11,PN-1,85,Shared
Seedbox.ch,5 TB Upload,10 Gbps,200 GB NVMe SSD & 500 GB HDD,11,SN-1,85,Shared
Sonicbit,Unmetered,15 Mbps,350 GB,11.22,PREMIUM,82,Shared
SeedboxSolutions,∞,1Gbps,2 TB,11.41,MID-2T (beta),85,Shared
Meggafast,∞,1Gbps,950 GB,11.47,MeggaBox 950 GB,82,Shared
The Smarthost,∞,300Mbps,350 GB,11.47,Basic 300Mbps Plan,82,Shared
Superseedbox.co.uk,∞,250Mbps,200 GB,11.47,Unmetered 250 Mbs,84,Shared
XO Hosting,∞,300Mbps,150GB,11.47,Silver Plan,82,Shared
Feral Hosting,∞,20Gbps,1 TB HDD,11.47,Helium,80,Shared
Giga-Rapid,8 TB,1Gbps,2 TB,11.95,Basic,85,Shared
Seedit4.me,5 TB Upload,2Gbps Incoming & 1Gbps Outgoing,1.5 TB,11.99,Sidekick Pro,85,Shared
Seedbox-HQ,∞,1Gbps,800 GB,12,800 GO,84,Shared
Seedgator,∞,1Gbps,2 TB,12,NIMBLE,82,Shared
Big Slice Box,∞,100Mbps,130 GB,12,Baby Box 130,83,Shared
Easy-tk,∞,1Gbps,1 TB,12,SEEDY 1000,84,Shared
SeedHost.eu,9 TB,1Gbps,3.9 TB,12,SDATA,80,Shared
SeedHost.eu,7 TB,10Gbps,4 TB,12,HDD 4T,80,Shared
SeedHost.eu,10 TB,10Gbps,1 TB,12,SSD 1T,80,Shared
ULTRA.cc,6 TB Upload,50 Gbps,3TB,12.05,EAGLE,84,Shared
SnTHostings,∞,100Mbps,120 GB,12.28,Local Box,80,Shared
YourSeedbox,∞,1Gbps,200 GB,13,S1200G,80,Shared
Xirvik,∞,2Gbps,500 GB,13.27,Feast,80,Shared
SnTHostings,∞,1Gbps,455 GB,13.31,Captain Box,80,Shared
ULTRA.cc,8 TB Upload,50 Gbps,3TB,13.95,SCORPION,84,Shared
Giga-Rapid,10 TB,10Gbps,2 TB,13.95,BASIC G10,85,Shared
Topseedbox,∞,1Gbps,200 GB,13.99,Gigabit SSD 200,84,Shared
RapidSeedbox,∞,10Gbps,2 TB,14,Supreme,85,Shared
Dentoo,∞,100Mbps,150 GB,14,Seedbox S,82,Shared
ByteSized Hosting,∞,10Gbps,1 TB,14,#ERROR!,82,Shared
The Seedbox Company (Appbox),∞,10Gbps,3 TB,14.65,AB-3000,80,Shared
Cloudboxes.io,4 TB,20 Gbps,1TB,14.95,Small,84,Shared
Bestbox,∞,1Gbps,900 GB - 5 TB,15,1GBIT,84,Shared
HostDzire,5 TB,1Gbps,75 GB SSD,15,US CloudVPS 3,83,Shared
SeedHost.eu,10 TB,10Gbps,5 TB,15,HDD 5T,80,Shared
SeedHost.eu,10 TB,10Gbps,1 TB,15,NVME 1T,80,Shared
SuperSeedbox,∞,150Mbps,1 TB,15.31,Copper,80,Shared
Sonicbit,Unmetered,200 Mbps,500 GB,15.31,PROFESSIONAL,82,Shared
Seedmonster,∞,1Gbps,3 TB,15.35,Blitz,84,Shared
SnTHostings,∞,100Mbps,150 GB,15.35,Semi Prof Box,84,Shared
CheapSeedbox,∞,1 Gbps,500 GB,15.37,Superbox1,82,Shared
GGSHQ,∞,150 Mbps Upload & 1Gbps Download,450 GB,15.37,15M450G,82,Shared
DediSeedbox,∞,10Gbps,1 TB,15.37,Small Plan,87,Shared
Iseedfast,6 TB,1Gbps,600 GB,15.37,SEEDFAST PROFFESIONAL,84,Shared
Evoseedbox,5 TB Upload,1Gbps,2 TB,15.37,Spidey,84,Shared
Whatbox,5 TB Upload,40 Gbps,2 TB,15.37,HDD Plan 1,82,Shared
SeedStorm,3 TB Upload,1Gbps,500 GB,15.37,Storm 1,85,Shared
The Seedbox Company (Appbox),∞,10Gbps,1.5 TB,15.91,AB-1500,84,Shared
Topseedbox,∞,1Gbps,"1,860 GB",15.95,Gigbit 2 TB Plan,84,Shared
Seedboxes.cc,∞,20Gbps,1 TB,15.95,Bat Box,80,Shared
Seedbox-HQ,∞,1Gbps,1.2 TB,16,1200 GO,84,Shared
ByteSized Hosting,6 TB,10Gbps,3 TB,16,Stream +3,82,Shared
Swizzin,8 TB,10 Gbps,2 TB,16.34,Alpha,83,Shared
ULTRA.cc,12 TB Upload,50 Gbps,4TB,16.45,SABRA,84,Shared
Sdedi,∞,10Gbps,1 TB,16.49,SdediBox 1000G,86,Shared
Giga-Rapid,12 TB,1Gbps,4 TB,16.95,Gold,85,Shared
Giga-Rapid,12 TB,10Gbps,3 TB,16.95,GOLD G10,85,Shared
Seedit4.me,∞,2Gbps Incoming & 1Gbps Outgoing,1.5 TB,16.99,Sidekick NL,85,Shared
SeedboxSolutions,∞,1Gbps,3 TB,17.15,PRO-3T (beta),85,Shared
The Smarthost,∞,300Mbps,400 GB,17.21,Standard 300Mbps Plan,82,Shared
The Smarthost,∞,1Gbps,350 GB,17.21,Basic 1Gbps Plan,82,Shared
Feral Hosting,∞,20Gbps,1.5 TB HDD,17.21,Neon,80,Shared
Feral Hosting,Off-peak,20Gbps,150 GB SSD,17.21,Neon (SSD),80,Shared
Superseedbox.co.uk,5TB Upload,1Gbps,500 GB,17.21,Gigabit 500GB,84,Shared
ULTRA.cc,15 TB Upload,50 Gbps,950GB,17.95,TOMCAT,84,Shared
Seedit4.me,9 TB Upload,2Gbps Incoming & 1Gbps Outgoing,2 TB,17.99,Hero Pro,85,Shared
Dentoo,∞,100Mbps,300 GB,18,Seedbox M,82,Shared
Big Slice Box,∞,100Mbps,260 GB,18,Baby Box 260,83,Shared
RapidSeedbox,∞,1Gbps,1.2 TB,18,Fast,87,Shared
SeedHost.eu,15 TB,10Gbps,6 TB,18,HDD 6T,80,Shared
Evoseedbox,7 TB Upload,1Gbps,600 GB,18.44,BLAZE,86,Shared
SeedHost.eu,16 TB,1Gbps,7.9 TB,19,SDATA L,80,Shared
Seedbox.ch,10 TB Upload,10 Gbps,4.2 TB,19,PN-2,85,Shared
The Seedbox Company (Appbox),∞,10Gbps,4 TB,19.29,AB-4000,80,Shared
Topseedbox,∞,1Gbps,2.7 TB,19.85,Gigbit 3 TB Plan,84,Shared
Cloudboxes.io,4 TB,20 Gbps,2TB,19.95,GPU Small,84,Shared
Giga-Rapid,14 TB,10Gbps,4 TB,19.95,PLATINUM G10,85,Shared
The Seedbox Company (Appbox),∞,10Gbps,2 TB,19.99,AB-2000,88,Shared
Seedit4.me,8 TB Upload,10Gbps,1.5 TB,19.99,Chaos,85,Shared
Seedbox.ch,8 TB Upload,10 Gbps,500 GB NVMe SSD &1 TB HDD,20,SN-2,85,Shared
HostDzire,10 TB,1Gbps,100 GB SSD,20,US CloudVPS 4,83,Shared
Xirvik,∞,2Gbps,1 TB,20.44,RATIO SAVER,80,Shared
SnTHostings,∞,1Gbps,910 GB,20.48,Major Box,80,Shared
Seedmonster,∞,1Gbps,4.5 TB,20.48,Zippy,84,Shared
SnTHostings,∞,1Gbps,300 GB,20.48,Start-up 1Gbit,84,Shared
CheapSeedbox,∞,1Gbps,800 GB,20.49,Superbox2,82,Shared
GGSHQ,∞,150 Mbps Upload & 1Gbps Download,650 GB,20.49,15M650G,84,Shared
GGSHQ,∞,1Gbps,450 GB,20.49,G450G,84,Shared
SeedStorm,6 TB Upload,2000Mbit Download/500Mbit Upload,900 GB,20.49,Storm 900GB Special,85,Shared
SeedStorm,3 TB Upload,1000Mbit Download/400Mbit Upload,1 TB,20.49,Storm 1TB,85,Shared
Swizzin,12 TB,10 Gbps,3 TB,20.49,Beta,83,Shared
Seedboxes.cc,∞,20Gbps,1.5 GB,20.95,Gremlin Box,84,Shared
Bestbox,∞,10Gbps,900 GB - 5 TB,21,10GBIT,84,Shared
Seedgator,∞,150 Mbps Upload & 1Gbps Download,4 TB,21,AGILE,82,Shared
ByteSized Hosting,∞,10Gbps,1.5 TB,21,#ERROR!,82,Shared
Hostingby.Design,25 TB,10Gbps,9 TB,21.95,App Hosting 9TB HDD,84,Shared
Big Slice Box,∞,100Mbps,360 GB,22,Baby Box 360,86,Shared
Seedbox-HQ,∞,1Gbps,2 TB,22,2TO,84,Shared
Whatbox,7.50 TB upload,40 Gbps,3 TB,22.54,HDD Plan 2,82,Shared
The Smarthost,∞,300Mbps,450 GB,22.94,Premium 300Mbps Plan,82,Shared
The Smarthost,∞,1Gbps,400 GB,22.94,Standard 1Gbps Plan,82,Shared
XO Hosting,∞,300Mbps,200GB,22.94,Gold Plan,82,Shared
Feral Hosting,∞,20Gbps,2 TB HDD,22.94,Argon,80,Shared
Feral Hosting,Off-peak,20Gbps,300 GB SSD,22.94,Argon (SSD),80,Shared
Seedit4.me,∞,2Gbps Incoming & 1Gbps Outgoing,2 TB,22.99,Hero NL,85,Shared
Seedit4.me,15 TB Upload,1Gbps,3 TB,23.99,Super Hero Pro,87,Shared
SeedHost.eu,25 TB,10Gbps,2 TB,24,SSD 2T,80,Shared
SeedHost.eu,20 TB,10Gbps,8 TB,24,HDD 8T,80,Shared
ULTRA.cc,15 TB Upload,50 Gbps,6TB,24.75,PANZER,84,Shared
Dentoo,∞,100Mbps,500 GB,25,Seedbox XL,82,Shared
Big Slice Box,∞,200Mbps,275 GB,25,Turbo Box 275,83,Shared
Easy-tk,∞,1Gbps,2 TB,25,SEEDY 2000,84,Shared
HostDzire,15 TB,1Gbps,150 GB SSD,25,US CloudVPS 5,83,Shared
Topseedbox,∞,1Gbps,400 GB,25.5,Gigabit SSD 400,84,Shared
Topseedbox,∞,1Gbps,3.7 TB,25.5,Gigbit 4 TB Plan,84,Shared
GGSHQ,∞,1Gbps,600 GB,25.61,G600G,84,Shared
Seed.ST,∞,80 Mbps,400 GB SSD,25.61,1gbit-ssd,83,Shared
DediSeedbox,∞,10Gbps,2 TB,25.61,Large Plan,87,Shared
Seed.ST,∞,30 Mbps,1 TB,25.61,1gbit,83,Shared
SeedStorm,5 TB Upload,1000Mbit Download/300Mbit Upload,750 GB,25.61,Storm 2,83,Shared
Swizzin,20 TB,10 Gbps,4 TB,25.61,Gamma,83,Shared
Giga-Rapid,18 TB,10Gbps,5 TB,25.95,PLATINUM G20,85,Shared
ULTRA.cc,15 TB Upload,500 Mbps,8TB,26.35,MERLIN,84,Shared
Evoseedbox,12 TB Upload,1Gbps,1 TB,26.63,DASH,84,Shared
Seedbox.ch,12 TB Upload,10Gbps,6.2 TB,27,PN-3,85,Shared
Bestbox,∞,1Gbps,600 GB - 1400 GB,28,1GBIT-SSD,84,Shared
ByteSized Hosting,∞,10Gbps,2 TB,28,#ERROR!,82,Shared
The Smarthost,∞,300Mbps,600 GB,28.68,Maximum 300Mbps Plan,82,Shared
The Smarthost,∞,1Gbps,450 GB,28.68,Premium 1Gbps Plan,82,Shared
Seedit4.me,∞,1Gbps,3 TB,28.99,SuperHero NL,82,Shared
Seedbox.ch,20 TB Upload,10Gbps,1 TB NVMe SSD & 2 TB HDD,29,SN-3,85,Shared
SnTHostings,∞,1Gbps,450 GB,29.7,Kick-in 1GBit Box,84,Shared
Whatbox,10 TB upload,40 Gbps,4 TB,29.71,HDD Plan 3,82,Shared
Topseedbox,∞,1Gbps,4.6 TB,29.95,Gigbit 5 TB Plan,84,Shared
Cloudboxes.io,8 TB,20 Gbps,1TB,29.95,NSmall,84,Shared
ULTRA.cc,30 TB Upload,50 Gbps,1.9TB,29.95,RAPTOR,84,Shared
Cloudboxes.io,12 TB,20 Gbps,3TB,29.95,Medium,84,Shared
RapidSeedbox,∞,10Gbps,2.2 TB,30,Stream,85,Shared
SeedHost.eu,25 TB,10Gbps,2 TB,30,NVME 2T,80,Shared
GGSHQ,∞,1Gbps,900 GB,30.73,G900G,84,Shared
GGSHQ,∞,150 Mbps Upload & 1Gbps Download,1 TB,30.73,15M1000G,82,Shared
Whatbox,50 TB upload,100 Gbps,950 GB,30.73,NVME Plan 1,82,Shared
Evoseedbox,10 TB Upload,1Gbps,4 TB,30.73,IronMan,84,Shared
Seedboxes.cc,∞,20Gbps,2 TB,30.95,Vampire Box,80,Shared
Big Slice Box,∞,200Mbps,375 GB,31,Turbo Box 375,83,Shared
Giga-Rapid,22 TB,10Gbps,6 TB,31.95,PLATINUM G30,85,Shared
ByteSized Hosting,10 TB,10Gbps,6 TB,32,Stream +6,82,Shared
ULTRA.cc,20 TB Upload,50 Gbps,8TB,32.95,LEOPARD,84,Shared
Giga-Rapid,20 TB,1Gbps,8 TB,33.95,PLATINUM,85,Shared
SeedHost.eu,27 TB,1Gbps,15.8 TB,34,SDATA XL,80,Shared
The Smarthost,∞,1Gbps,600 GB,34.42,Maximum 1Gbps Plan,82,Shared
Feral Hosting,∞,20Gbps,3 TB HDD,34.42,Krypton,80,Shared
XO Hosting,∞,300 mbps,250GB,34.42,Platinum Plan,82,Shared
Superseedbox.co.uk,∞,1Gbps,1 TB,34.42,Dedicated 1TB Gigabit,84,Shared
Feral Hosting,Off-peak,20Gbps,300 GB SSD,34.42,Krypton (SSD),80,Shared
Topseedbox,∞,1Gbps,5.5 TB,34.5,Gigbit 6 TB Plan,84,Shared
Cloudboxes.io,8 TB,20 Gbps,2TB,34.95,GPU NVMe Small,84,Shared
Cloudboxes.io,20 TB,20 Gbps,4 TB,34.95,GPU NVMe Medium,84,Shared
Seedbox.ch,16 TB Upload,10Gbps,8.2 TB,35,PN-4,85,Shared
SuperSeedbox,∞,1Gbps,2 TB,35.8,Bronze,80,Shared
Seedmonster,∞,1Gbps,10 TB,35.84,Cyclone,84,Shared
SeedStorm,7.5 TB Upload,1000Mbit Download/300Mbit Upload,1 TB,35.85,Storm 3,83,Shared
Topseedbox,∞,1Gbps,600 GB,35.99,Gigabit SSD 600,84,Shared
Big Slice Box,∞,200Mbps,475 GB,36,Turbo Box 475,83,Shared
RapidSeedbox,∞,10Gbps,2.8 TB,36,Rapid,93,Shared
SeedHost.eu,40 TB,10Gbps,10 TB,36,HDD 10T,80,Shared
Seedgator,∞,200 Mbps Upload & 1Gbps Download,8 TB,38,HYPERSONIC,82,Shared
Swizzin,30 TB,10 Gbps,6 TB,38.92,Delta,83,Shared
ULTRA.cc,22 TB Upload,500 Mbps,12TB,39.55,OSPREY,84,Shared
Topseedbox,∞,1Gbps,6.5 TB,39.85,Gigbit 7 TB Plan,84,Shared
SnTHostings,∞,1Gbps,600 GB,39.94,Roll-in 1GBit Box,84,Shared
Cloudboxes.io,12 TB,20 Gbps,4 TB,39.95,GPU Medium,84,Shared
Seedit4.me,25 TB Upload,2Gbps Incoming & 1Gbps Outgoing,5 TB,39.99,Avenger Pro,85,Shared
Seedit4.me,20 TB Upload,10Gbps,4 TB,39.99,Super Villain,85,Shared
Big Slice Box,∞,200Mbps,575 GB,40,Turbo Box 575,83,Shared
Easy-tk,∞,1Gbps,4 TB,40,SEEDY 4000,84,Shared
Seedboxes.cc,∞,20Gbps,3 TB,40.95,Zombie Box,80,Shared
SnTHostings,∞,1Gbps,1.8 TB,40.96,Colonel Box,80,Shared
SeedStorm,6 TB Upload,1000Mbit Download/400Mbit Upload,2 TB,40.97,Storm 2TB,84,Shared
ULTRA.cc,45 TB Upload,50 Gbps,2.8TB,41.95,VALKYRIE,84,Shared
ByteSized Hosting,∞,10Gbps,3 TB,42,#ERROR!,82,Shared
Seedbox.ch,30 TB Upload,10Gbps,2 TB NVMe SSD & 4 TB HDD,43,SN-4,85,Shared
Whatbox,15 TB upload,40 Gbps,6 TB,43.02,HDD Plan 4,82,Shared
Giga-Rapid,30 TB,10Gbps,8 TB,43.95,IRIDIUM G10,85,Shared
Topseedbox,∞,1Gbps,7.4 TB,44.95,Gigbit 8 TB Plan,84,Shared
Seedit4.me,∞,2Gbps Incoming,5 TB,44.99,Avenger NL,85,Shared
SeedHost.eu,50 TB,10Gbps,4 TB,45,NVME 4T,80,Shared
Evoseedbox,15 TB Upload,1Gbps,6 TB,46.1,Hulk,84,Shared
SeedStorm,10 TB Upload,1000Mbit Download/300Mbit Upload,1.5 TB,46.1,Storm 4,83,Shared
SeedHost.eu,50 TB,10Gbps,4 TB,48,SSD 4T,80,Shared
ByteSized Hosting,15 TB,10Gbps,9 TB,48,Stream +9,82,Shared
ULTRA.cc,30 TB Upload,50 Gbps,12TB,49.45,ABRAMS,84,Shared
SeedHost.eu,45 TB,1Gbps,23.7 TB,50,SDATA XXL,80,Shared
SuperSeedbox,∞,1Gbps,3.6 TB,51.17,Silver,80,Shared
Seed.ST,∞,30 Mbps,6TB HDD,51.22,Max,83,Shared
Swizzin,40 TB,10 Gbps,8 TB,51.22,Epsilon,83,Shared
Feral Hosting,∞,20Gbps,4.5 TB HDD,51.62,Xenon,80,Shared
Seedbox.ch,20 TB Upload,10Gbps,12.2 TB,53,PN-5,85,Shared
ULTRA.cc,60 TB Upload,50 Gbps,3.80 TB,53.95,BLACKBIRD,84,Shared
ULTRA.cc,30 TB Upload,500 Mbps,16TB,54.95,CHINOOK,84,Shared
SeedHost.eu,70TB,10Gbps,5.3 TB,55,SSD 5T,80,Shared
SeedHost.eu,50 TB,10Gbps,16 TB,55,HDD 16T,80,Shared
Whatbox,20 TB upload,40 Gbps,8 TB,55.31,HDD Plan 5,82,Shared
Giga-Rapid,38 TB,10Gbps,10 TB,55.95,IRIDIUM G20,85,Shared
GGSHQ,∞,1Gbps,2 TB,56.34,G2000G,85,Shared
Cloudboxes.io,20 TB,20 Gbps,3TB,59.95,NMedium,84,Shared
Seedit4.me,30 TB Upload,10Gbps,6000 GB HDD,59.99,Ace,85,Shared
Whatbox,22.50 TB upload,40 Gbps,9 TB,61.46,HDD Plan 6,82,Shared
Evoseedbox,20 TB Upload,1Gbps,8 TB,61.46,Thanos,84,Shared
Whatbox,100 TB upload,100 Gbps,1.90 TB,61.46,NVME Plan 2,82,Shared
SeedStorm,10 TB Upload,1000Mbit Download/400Mbit Upload,3 TB,61.46,Storm 3TB,83,Shared
ByteSized Hosting,20 TB,10Gbps,12 TB,64,Stream +12,82,Shared
Whatbox,40 TB upload,40 Gbps,21.50 TB,65.56,HDD Plan 7,82,Shared
ULTRA.cc,50 TB Upload,50 Gbps,16TB,65.95,CHALLENGER,84,Shared
RapidSeedbox,∞,10Gbps,5.6 TB,67,Furious,85,Shared
Giga-Rapid,46 TB,10Gbps,12 TB,67.95,IRIDIUM G30,85,Shared
Superseedbox.co.uk,∞,1Gbps,6 TB,68.83,Dedicated 6TB Gigabit,84,Shared
Feral Hosting,Off-peak,20Gbps,600 GB SSD,68.83,Xenon (SSD),80,Shared
Swizzin,55 TB,10 Gbps,12 TB,71.7,Zeta,83,Shared
SuperSeedbox,unmetered,1Gbps,8 TB,76.77,Gold,80,Shared
Giga-Rapid,54 TB,10Gbps,16 TB,79.95,OSMIUM G10,85,Shared
Cloudboxes.io,35 TB,20 Gbps,6TB,79.95,Large,84,Shared
SeedHost.eu,70 TB,10Gbps,7.6 TB,80,NVME 8T,80,Shared
ByteSized Hosting,25 TB,10Gbps,15 TB,80,Stream +15,82,Shared
Seedboxes.cc,∞,20Gbps,6 TB,80.95,Red Dragon Box,80,Shared
SnTHostings,∞,1Gbps,3.6 TB,81.94,General Box,80,Shared
Whatbox,175 TB upload,100 Gbps,2.85 TB,92.19,NVME Plan 3,82,Shared
ByteSized Hosting,30 TB,10Gbps,18 TB,96,Stream +18,82,Shared
SeedStorm,25 TB Upload,1Gbps,3 TB,102.43,Storm 5,83,Shared
Whatbox,250 TB upload,100 Gbps,3.80 TB,122.92,NVME Plan 4,82,Shared
Feral Hosting,Off-peak,20Gbps,1200 GB SSD,137.66,Radon (SSD),80,Shared
Cloudboxes.io,50 TB,20 Gbps,6TB,139.95,NLarge,84,Shared
Feral Hosting,Off-peak,20Gbps,1600 GB SSD,183.55,1.6 TB SSD,80,Shared
Cloudboxes.io,80 TB,20 Gbps,12TB,199.95,NVExtra,84,Shared
Whatbox,500 TB upload,100 Gbps,7.60 TB,245.84,NVME Plan 5,82,Shared
Whatbox,750 TB upload,100 Gbps,11.40 TB,368.76,NVME Plan 6,82,Shared
